"Transbasin_Diversion","Mean_Annual_Flow_Diverted_AF"
Colorado-Big Thompson Project,215154.5584
Roberts Tunnel Collection System,56586.1274
Moffat Collection System Project,46392.3791
Grand River Ditch,17346.9700
Laramie Poudre Tunnel,14483.1565
Continental-Hoosier Diversion System,8385.2999
Skyline Ditch,6689.6793
Michigan Ditch,2706.8483
Wilson Supply Ditch,2306.5797
Deadman Ditch,840.6945
Berthoud Pass Ditch,676.9076
Vidler Collection System,524.3554
Straight Creek Tunnel,296.2901
Bob Creek Ditch,273.9270
Cameron Pass Ditch,187.8251
Boreas Pass Ditch,149.9570
Columbine Ditch,110.1063
